Date,Open,High,Low,Close,Adj Close,Volume
2002-01-01,15.453689,16.496096,15.314701,16.157314,-56.380871,41284527
2002-02-01,16.166000,16.661144,15.271267,16.461349,-57.441792,17498858
2002-03-01,16.383169,18.693838,16.053074,18.659092,-65.110809,34839689
2002-04-01,18.659092,20.848146,18.242128,20.379063,-71.112640,25548652
2002-05-01,20.379063,21.351976,19.545137,21.282482,-74.265121,22097399
2002-06-01,20.648352,21.456219,18.502729,19.545137,-68.202667,18979574
2002-07-01,19.545137,20.066341,14.072499,18.155260,-64.807549,37324104
2002-08-01,17.981527,20.387751,17.373455,19.023933,-67.908401,68671473
2002-09-01,18.937067,19.197668,13.386247,13.516548,-48.249081,40725774
2002-10-01,13.542609,16.331047,11.692335,14.350474,-51.225880,37901251
2002-11-01,14.385221,16.504784,13.811897,14.228860,-50.791756,32950256
2002-12-01,14.246233,14.897738,12.265659,12.491514,-44.590073,48968597
2003-01-01,12.491514,13.638163,12.213539,12.439394,-44.404026,38659076
2003-02-01,12.552322,12.986658,11.779203,12.031118,-42.946632,30055789
2003-03-01,12.161419,12.752116,10.901843,12.395960,-44.248978,48792457
2003-04-01,12.491514,14.541582,12.343840,14.324414,-51.132866,58449965
2003-05-01,14.324414,15.514496,13.351500,15.462375,-55.194954,72911718
2003-06-01,15.453689,15.905399,14.280980,14.376534,-51.318905,117659538
2003-07-01,14.333101,15.219147,13.924825,14.706630,-54.173962,105583317
2003-08-01,14.619763,16.313675,14.558956,15.028039,-55.357922,81560624
2003-09-01,15.158340,15.583990,14.246233,14.532895,-53.533985,92278341
2003-10-01,14.550269,16.548216,14.419968,15.992062,-58.909039,118249110
2003-11-01,16.035828,16.403461,15.230535,15.930790,-58.683323,119155296
2003-12-01,15.974556,16.631044,15.711960,16.569773,-61.037106,79156113
2004-01-01,16.569773,17.795218,16.499746,17.182495,-63.294159,71027763
2004-02-01,17.261272,18.372927,16.823614,18.119085,-66.744209,74363371
2004-03-01,18.084072,19.519594,17.164988,18.600510,-68.517624,105487787
2004-04-01,18.688042,19.274506,17.646414,18.014048,-66.357307,77496948
2004-05-01,18.049061,18.819340,16.718576,17.646414,-65.003075,74038120
2004-06-01,17.646414,18.390434,17.427584,17.506363,-66.249130,70077802
2004-07-01,17.558882,17.803970,16.727329,17.156235,-64.924149,60267773
2004-08-01,16.981173,18.416693,16.867380,18.119085,-68.567833,60924936
2004-09-01,18.145346,19.563360,18.110332,19.221987,-72.741539,116847393
2004-10-01,19.265753,20.421171,19.038170,20.106056,-76.087112,84486881
2004-11-01,20.027279,20.920103,18.950638,19.502089,43.966862,104191067
2004-12-01,19.624632,20.176083,19.292011,19.432062,43.808994,83470061
2005-01-01,19.432062,20.368652,19.300764,20.001019,46.011917,70745305
2005-02-01,20.088551,20.596235,19.405804,19.615879,45.125923,79435229
2005-03-01,19.685905,20.263615,18.346668,18.355421,42.226269,115140873
2005-04-01,18.372927,18.845598,17.383818,17.515116,40.293159,97354333
2005-05-01,17.725191,19.160713,17.602648,18.442953,42.427620,94177448
2005-06-01,18.530485,19.151960,18.049061,18.346668,42.946949,99116551
2005-07-01,18.197865,20.132317,17.523869,19.790943,46.327785,87809084
2005-08-01,19.712164,20.254862,18.469212,18.906872,44.258308,76078209
2005-09-01,18.950638,21.559086,18.889364,21.357761,49.995487,101929516
2005-10-01,21.357761,21.821680,20.552469,21.401527,50.097942,80116336
2005-11-01,21.357761,23.108398,21.191452,22.486923,-12.927458,82029459
2005-12-01,22.556948,24.062494,22.364378,23.292215,-13.390411,72965737
2006-01-01,23.449774,25.550535,23.327229,25.427992,-14.618245,84956345
2006-02-01,25.384226,27.878883,25.191656,26.837254,-15.428412,68300615
2006-03-01,26.916033,28.649162,26.355829,28.106464,-16.158066,94458000
2006-04-01,28.290281,28.815474,27.178629,27.957661,-16.072521,59748234
2006-05-01,27.957661,29.909620,24.780256,25.463003,-14.638371,134138727
2006-06-01,25.410484,26.136999,23.335981,26.040714,-15.454241,101144221
2006-07-01,26.110741,27.948908,24.438883,27.546263,-16.347731,79791887
2006-08-01,27.537510,29.148094,26.907278,27.756338,-16.472403,68273116
2006-09-01,27.808857,30.531097,27.458731,30.321020,-17.994450,95464545
2006-10-01,30.382292,31.642752,28.754202,29.156847,-17.303553,114977523
2006-11-01,29.078068,30.321020,26.924786,27.983921,-16.607466,103371231
2006-12-01,28.018932,28.404074,27.038576,27.887636,-16.550327,78180666
2007-01-01,27.887636,29.980396,27.887636,29.198454,-17.328247,147079516
2007-02-01,29.536112,29.944855,26.550510,26.799311,13.509318,110422268
2007-03-01,26.683798,27.296911,25.190996,25.937397,13.074835,136283291
2007-04-01,25.857426,27.838940,25.759684,27.616796,13.921409,93700098
2007-05-01,27.616796,29.411711,27.048111,27.261368,13.742239,128623824
2007-06-01,27.430197,27.447968,25.804111,26.825968,14.050813,114658349
2007-07-01,26.603825,26.879284,24.044741,25.190996,13.194449,127448352
2007-08-01,24.568996,25.821882,23.102854,24.613426,12.891934,177197288
2007-09-01,24.613426,25.039940,23.129513,24.035854,12.589414,155594355
2007-10-01,23.635998,25.653053,23.156170,24.249111,12.701111,119532102
2007-11-01,24.249111,24.249111,18.331226,21.343483,11.179213,200925244
2007-12-01,21.343483,21.947712,19.726282,20.499340,10.737071,110613455
2008-01-01,20.499340,20.774797,15.336741,18.206825,9.536305,205102290
2008-02-01,18.393427,18.766626,15.150141,16.029827,8.396046,193796241
2008-03-01,15.923198,18.082426,14.723627,17.415998,9.122090,258574271
2008-04-01,17.407112,19.637426,17.238283,19.237570,10.076185,141803654
2008-05-01,19.237570,20.250540,15.025741,15.114598,7.916671,185052901
2008-06-01,15.194569,15.194569,12.104439,12.499253,7.032664,498335169
2008-07-01,12.508883,14.810363,10.669624,13.259994,7.460692,371505404
2008-08-01,13.019253,14.781474,12.402957,13.982216,7.867048,180824281
2008-09-01,13.731845,14.925919,10.833328,12.908512,7.262931,363839544
2008-10-01,13.423697,15.041474,8.223700,10.818884,6.087209,280035303
2008-11-01,10.972958,11.699994,6.514441,8.392218,4.721854,181648570
2008-12-01,8.397033,9.610366,7.395552,7.703700,4.334461,129712827
2009-01-01,7.703700,9.682588,6.858219,9.186662,5.168844,157539032
2009-02-01,8.772588,9.465921,6.692589,7.501478,4.220682,119445781
2009-03-01,7.260737,9.340736,5.681478,8.004144,4.503505,196362517
2009-04-01,7.929996,10.785180,7.780737,10.785180,6.068246,132736905
2009-05-01,10.785180,11.709624,9.333032,9.947402,5.596873,117158761
2009-06-01,10.183328,10.881476,8.474070,8.547255,5.024417,129149213
2009-07-01,8.570366,10.101476,8.300737,9.644069,5.669167,128552216
2009-08-01,9.725921,12.980734,9.639254,12.441475,7.313595,119013834
2009-09-01,12.484809,14.112215,11.671105,13.751104,8.083447,136301991
2009-10-01,13.847401,14.617771,12.070735,12.619624,7.418318,148281482
2009-11-01,12.455920,15.079993,12.200735,13.269623,7.800412,123756201
2009-12-01,13.481475,13.635549,11.478513,11.902216,6.996597,143867776
2010-01-01,11.902216,13.086660,10.891106,11.016291,6.475814,143335468
2010-02-01,10.944069,11.382217,9.456292,10.515550,6.181459,184878836
2010-03-01,10.626291,12.807401,10.457773,12.479994,7.336238,159924206
2010-04-01,12.494438,13.269623,10.168884,10.419254,6.124853,192679012
2010-05-01,10.645550,10.737032,8.217922,8.548218,5.024982,350227197
2010-06-01,8.453848,9.855921,7.581404,8.315181,5.144747,287177066
2010-07-01,8.164959,10.616661,7.824070,10.120736,6.261875,207078499
2010-08-01,10.255550,10.929624,9.307032,9.576662,5.925247,133219811
2010-09-01,9.653699,11.825179,9.494810,11.040365,6.830865,228890923
2010-10-01,11.127032,11.743328,10.818884,11.338883,7.015564,123498896
2010-11-01,11.464068,12.133327,8.936292,9.091329,5.624963,203209859
2010-12-01,9.162588,10.303699,9.100958,9.151995,5.662498,146736071
2011-01-01,9.359032,11.049995,8.965181,10.390365,6.428699,191419241
2011-02-01,10.520365,12.441475,10.255550,12.248883,7.578597,214172687
2011-03-01,12.263327,12.422216,10.568513,11.151106,6.899384,263039427
2011-04-01,11.281106,11.622957,10.130365,10.823698,6.696809,177643381
2011-05-01,10.934439,10.948884,9.802958,10.226662,6.327413,222487035
2011-06-01,10.226662,10.322958,9.149107,9.985921,6.448657,244559139
2011-07-01,9.985921,10.414439,7.872218,8.298811,5.359164,397965024
2011-08-01,8.656070,8.657033,5.421479,6.568367,4.241687,430583619
2011-09-01,6.538515,6.565478,3.862442,5.036294,3.252313,377954963
2011-10-01,4.870664,6.057034,4.448886,5.465775,3.529660,278586173
2011-11-01,5.055553,5.305923,3.832590,4.577923,2.956308,247936492
2011-12-01,4.596220,4.915923,3.875924,4.198516,2.711297,181015007
2012-01-01,4.181183,5.106590,3.862442,4.536516,2.929569,247211528
2012-02-01,4.575035,5.498516,4.429627,4.628960,2.989267,353043687
2012-03-01,4.622220,4.999701,4.336220,4.487405,2.897854,303571529
2012-04-01,4.534590,4.543257,3.349183,3.739183,2.414671,390850319
2012-05-01,3.739183,3.827776,2.745406,2.784887,1.798410,479792935
2012-06-01,2.807035,3.349183,2.735776,3.342442,2.158465,472877370
2012-07-01,3.417554,3.685257,2.811850,3.361702,2.170903,377042249
2012-08-01,3.338591,4.477775,3.160443,4.466220,2.884173,368376363
2012-09-01,4.419998,5.854812,4.338146,5.171108,3.339372,476899451
2012-10-01,5.192293,6.312219,5.180738,5.592886,3.611746,339153471
2012-11-01,5.577479,5.970367,5.076738,5.613108,3.624805,234306921
2012-12-01,5.614071,6.062812,5.600590,5.858664,3.783379,146796492
2013-01-01,5.858664,7.507255,5.858664,7.010367,4.527119,258554442
2013-02-01,6.837033,7.698885,6.586663,6.933330,4.477371,298851099
2013-03-01,6.885182,7.072959,5.731553,6.187997,3.996053,227483427
2013-04-01,6.187997,6.884219,5.791256,6.693552,4.322528,201791211
2013-05-01,6.693552,7.256885,6.495182,7.026737,4.537691,158265587
2013-06-01,6.971848,7.094144,6.069552,6.358441,4.106122,153690971
2013-07-01,6.406589,7.207774,6.022367,6.912145,4.463690,164104370
2013-08-01,6.962219,8.067700,6.917922,7.361848,4.754097,179400883
2013-09-01,7.484144,8.185181,7.366663,7.849107,5.068757,142328404
2013-10-01,7.846218,8.911255,7.842366,8.567477,5.532662,137234578
2013-11-01,8.606959,9.148144,8.281477,8.888144,5.739741,132320733
2013-12-01,8.892959,9.001773,8.424959,8.960366,5.786380,102525000
2014-01-01,8.960366,10.380736,8.804366,9.617106,6.210487,157408897
2014-02-01,9.582440,11.155920,9.177032,11.093328,7.163794,123032056
2014-03-01,10.838143,11.449624,10.539624,11.021106,7.117155,162079439
2014-04-01,11.122217,11.589254,10.452958,10.934439,7.061187,115546240
2014-05-01,10.934439,11.637402,10.477032,11.021106,7.117155,131852479
2014-06-01,10.977772,11.647031,9.865551,9.918514,6.599392,124670732
2014-07-01,10.005180,10.496291,9.399477,9.745180,6.484061,163994856
2014-08-01,9.721106,11.001846,9.438958,10.867032,7.230498,134342618
2014-09-01,10.867032,11.762587,10.640736,11.502587,7.653372,130723447
2014-10-01,11.420735,11.608513,9.519847,11.358143,7.557264,185475864
2014-11-01,11.290735,11.430365,9.616143,10.886291,7.243313,170298336
2014-12-01,10.804439,11.054809,9.561255,10.361476,6.894120,147758251
2015-01-01,10.361476,11.204069,9.458218,10.173699,6.769182,199985922
2015-02-01,10.149625,12.682216,9.947402,12.104439,8.053821,214265850
2015-03-01,12.114068,13.505549,12.070735,13.168512,8.761813,152947382
2015-04-01,13.101105,13.948512,12.831475,13.389994,8.909178,137626858
2015-05-01,13.389994,13.919623,12.807401,13.091475,8.710554,127974580
2015-06-01,13.120364,13.712586,12.277772,12.845920,8.761157,153165741
2015-07-01,13.019253,13.943697,12.094809,13.813697,9.421200,134052169
2015-08-01,13.741475,13.938882,10.578143,11.637402,7.936926,208091604
2015-09-01,11.507402,11.647031,9.588217,9.875180,6.735057,161768209
2015-10-01,10.009995,11.261846,9.788514,11.093328,7.565858,144956471
2015-11-01,11.045180,11.488143,10.289254,10.997032,7.500182,164704347
2015-12-01,11.016291,11.088513,9.721106,10.477032,7.145533,131689590
2016-01-01,10.491476,10.491476,8.366218,8.855403,6.039551,187913547
2016-02-01,8.897773,9.388884,7.309848,9.230958,6.295686,220087046
2016-03-01,9.244440,10.438513,8.980588,9.165477,6.251027,158338393
2016-04-01,9.051847,9.769254,8.507773,9.301255,6.343630,135880158
2016-05-01,9.377329,9.378292,8.127403,8.690736,5.927245,160993698
2016-06-01,8.666662,8.781255,6.538515,7.279996,5.294818,237958996
2016-07-01,7.358959,7.761478,6.702219,7.626663,5.546953,148573394
2016-08-01,7.751848,8.258366,7.231848,8.175551,5.946165,115637782
2016-09-01,8.238144,8.708070,7.949255,8.452885,6.147872,156607278
2016-10-01,8.512588,9.600736,8.331551,9.467847,6.886064,154129663
2016-11-01,9.444736,10.684069,9.035477,10.255550,7.458970,190708269
2016-12-01,10.245921,11.622957,10.019625,11.343698,8.250390,158008981
2017-01-01,11.334069,12.224809,11.314809,11.810735,8.590072,132703942
2017-02-01,11.902216,11.993698,10.650365,10.972958,7.980748,156587441
2017-03-01,11.122217,12.388513,11.122217,12.229624,8.894734,145469227
2017-04-01,12.229624,13.385179,11.165550,13.144438,9.560088,171167774
2017-05-01,13.144438,14.179623,13.134808,13.134808,9.553084,172188826
2017-06-01,13.105920,14.044808,12.918142,13.563327,10.290568,137746316
2017-07-01,13.659623,14.555178,13.645179,14.299993,10.849481,122048416
2017-08-01,14.295178,15.094437,13.871475,14.261475,10.820256,144414718
2017-09-01,14.348141,15.022215,13.852216,14.810363,11.236700,108535480
2017-10-01,14.786289,15.051104,14.078512,14.425178,10.944458,129632656
2017-11-01,14.473326,14.569623,13.255179,13.630734,10.341709,149127598
2017-12-01,13.630734,14.227771,13.255179,13.288882,10.082345,110898578
2018-01-01,13.288882,14.964437,13.288882,14.612956,11.086927,126538073
2018-02-01,14.699623,14.872956,12.889253,13.611475,10.327099,149773789
2018-03-01,13.577771,13.606660,12.465550,12.715920,9.647635,123464522
2018-04-01,12.715920,13.255179,12.441475,13.129994,9.961796,92933071
2018-05-01,13.129994,13.410000,11.610000,11.740000,8.907200,184227083
2018-06-01,11.905000,12.285000,11.295000,11.435000,9.116450,162399711
2018-07-01,11.350000,12.140000,11.105000,12.015000,9.578850,136840389
2018-08-01,12.070000,12.590000,11.654000,11.784000,9.394687,148384055
2018-09-01,11.786000,13.124000,11.774000,12.386000,9.874626,151616817
2018-10-01,12.360000,12.746000,10.966000,11.328000,9.031145,180579130
2018-11-01,11.308000,11.728000,10.546000,10.968000,8.744139,132124825
2018-12-01,11.190000,11.238000,9.098000,9.430000,7.517982,135471241
2019-01-01,9.430000,10.424000,9.095000,9.959000,7.939722,130717610
2019-02-01,9.965000,11.286000,9.402000,11.232000,8.954610,148453298
2019-03-01,11.342000,11.436000,10.370000,10.770000,8.586286,162438288
2019-04-01,10.965000,12.490000,10.825000,12.230000,9.750257,121285957
2019-05-01,12.230000,12.505000,10.060000,10.230000,8.155774,148717430
2019-06-01,10.150000,10.800000,10.050000,10.545000,8.987854,109503693
2019-07-01,10.745000,11.440000,10.570000,10.780000,9.188151,101004734
2019-08-01,10.900000,11.080000,9.680000,10.390000,8.855742,133877111
2019-09-01,10.370000,11.535000,10.235000,11.140000,9.494992,116998233
2019-10-01,11.180000,12.035000,10.335000,11.685000,9.959514,132716219
2019-11-01,11.700000,12.785000,11.605000,12.415000,10.581717,121193407
2019-12-01,12.495000,13.400000,12.045000,12.925000,11.016407,97928524
2020-01-01,12.925000,13.220000,12.185000,12.230000,10.424035,108004700
2020-02-01,12.290000,13.800000,10.570000,10.810000,9.213722,180372733
2020-03-01,11.015000,11.220000,5.700000,6.690000,5.702109,426299382
2020-04-01,6.520000,7.878000,6.004000,7.282000,6.206690,209956803
2020-05-01,7.282000,8.218000,6.408000,7.824000,6.668655,163568106
2020-06-01,8.068000,9.522000,7.750000,8.428000,7.183465,201547416
2020-07-01,8.474000,9.516000,8.126000,8.126000,6.926060,137698064
2020-08-01,8.100000,9.296000,8.044000,8.588000,7.319838,101650582
2020-09-01,8.706000,8.882000,7.082000,7.472000,6.368634,137283691
2020-10-01,7.598000,7.872000,6.514000,6.782000,5.780524,133021435
2020-11-01,6.842000,10.100000,6.766000,9.674000,8.245471,202299893
2020-12-01,9.726000,11.050000,9.680000,10.320000,8.796079,148306090
2021-01-01,10.320000,10.880000,9.228000,9.380000,7.994885,105283756
2021-02-01,9.500000,11.985000,9.420000,11.615000,9.899850,117495121
2021-03-01,11.770000,12.650000,11.695000,12.345000,10.522053,121395537
2021-04-01,12.336000,13.000000,11.958000,12.872000,10.971232,89538403
2021-05-01,12.854000,13.490000,11.782000,12.202000,10.400169,123314961
2021-06-01,12.242000,12.624000,11.456000,11.814000,10.711752,153229468
2021-07-01,11.934000,12.120000,10.972000,11.760000,10.662790,130187602
2021-08-01,11.878000,12.352000,11.620000,12.210000,11.070805,93498171
2021-09-01,12.280000,12.424000,11.054000,11.946000,10.831436,128692985
2021-10-01,11.764000,13.142000,11.660000,13.040000,11.823366,115023556
2021-11-01,13.056000,13.412000,11.802000,12.066000,10.940240,139534686
2021-12-01,12.110000,12.608000,11.712000,12.550000,11.379083,97562149
2022-01-01,12.620000,13.944000,12.600000,13.280000,12.040974,126578354
2022-02-01,13.400000,14.266000,11.284000,11.466000,10.396220,159554480
2022-03-01,11.370000,11.500000,8.970000,10.886000,9.870334,323568514
2022-04-01,10.946000,11.042000,9.687000,10.376000,9.407918,161086644
2022-05-01,10.324000,11.296000,9.840000,10.314000,9.351703,181988661
2022-06-01,10.406000,10.434000,8.574000,8.731000,8.731000,177257930
2022-07-01,8.695000,9.030000,8.094000,8.979000,8.979000,142297952
2022-08-01,8.964000,10.138000,8.780000,9.190000,9.190000,143291601
2022-09-01,9.100000,9.852000,8.175000,8.364000,8.364000,187587410
2022-10-01,8.246000,9.241000,8.114000,9.186000,9.186000,134263803
2022-11-01,9.250000,9.820000,9.145000,9.610000,9.610000,172723953
2022-12-01,9.696000,9.939000,9.293000,9.831000,9.831000,154037130
2023-01-01,9.896000,10.528000,9.883000,10.518000,10.518000,43500051
2023-01-06,10.450000,10.528000,10.384000,10.518000,10.518000,7608068