month,nickel
2016-01,8620
2016-02,8520
2016-03,8490
2016-04,9445
2016-05,8435
2016-06,9445
2016-07,10630
2016-08,9765
2016-09,10575
2016-10,10475
2016-11,11250
2016-12,10020
2017-01,9955
2017-02,10980
2017-03,10025
2017-04,9450
2017-05,8970
2017-06,9390
2017-07,10215
2017-08,11800
2017-09,10500
2017-10,12295
2017-11,11110
2017-12,12760
2018-01,13600
2018-02,13790
2018-03,13300
2018-04,13650
2018-05,15220
2018-06,14900
2018-07,14030
2018-08,12800
2018-09,12600
2018-10,11500
2018-11,11200
2018-12,10690
2019-01,12480
2019-02,13050
2019-03,12984
2019-04,12201
2019-05,12017
2019-06,12690
2019-07,14490
2019-08,17900
2019-09,17050
2019-10,16645
2019-11,13670
2019-12,14025
2020-01,12850
2020-02,12255
2020-03,11484
2020-04,12192
2020-05,12324
2020-06,12805
2020-07,13786
2020-08,15367
2020-09,14517
2020-10,15156
2020-11,16033
2020-12,16613
2021-01,17691
2021-02,18577
2021-03,16068
2021-04,17674
2021-05,18113
2021-06,18214
2021-07,19552
2021-08,19547
2021-09,17936
2021-10,19448
2021-11,19897
2021-12,20757